date,quarantine
13/12/2020,no
14/12/2020,no
15/12/2020,no
16/12/2020,no
17/12/2020,no
18/12/2020,no
19/12/2020,no
20/12/2020,no
21/12/2020,no
22/12/2020,no
23/12/2020,no
24/12/2020,no
25/12/2020,no
26/12/2020,no
27/12/2020,yes
28/12/2020,yes
29/12/2020,yes
30/12/2020,yes
31/12/2020,yes
